CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,COUNTY,CITY,LONGITUDE,LATITUDE
90471940,2016,6/6/2017,9590,10/2/2016,327,21236,,7,3,7,1942,0,1,1,,2,53,I-110 SOUTHBOUND (HARBOR FREEWAY),WASHINGTON BOULEVARD U/C,25,S,N,A,-,Y,,,110,,,,,,S,Y,1,1,1,3,A,-,1,23152,A,N,B,C,E,A,H,-,C,D,0,Y,,,,Y,Y,A,1,0,1,0,1,0,0,0,0,0,-,-,LOS ANGELES,LOS ANGELES,-118.2745654,34.03499362
90467814,2016,5/31/2017,9580,6/5/2016,2055,20396,,7,2,3,1989,0,1,2,,2,106,US-101 N/B FROM LAS VIRGENES ROAD,LAS VIRGENES RD,8,N,N,A,-,Y,,,101,,,,R,,N,N,1,1,1,3,A,-,10,21950,A,F,G,B,B,A,H,-,C,A,0,Y,,,,Y,,D,22,1,0,0,1,1,0,0,0,0,-,-,LOS ANGELES,CALABASAS,-118.69809,34.14945
90453918,2016,5/11/2017,9580,11/29/2016,1805,19544,,2,2,7,1942,0,1,1,,2,407,I-405 S/B (SAN DIEGO FWY),RAYMER STREET OVERHEAD,194,S,N,A,-,Y,,,405,,,,,,S,Y,1,1,3,4,A,-,8,22107,,N,E,I,F,A,H,-,D,D,0,Y,,,,Y,,A,1,2,0,1,1,2,0,0,0,0,-,-,LOS ANGELES,LOS ANGELES,-118.4733704,34.21617961
90453511,2016,5/10/2017,9535,12/19/2016,2155,17781,,1,2,5,1901,0,1,1,,2,420,I-10 (SAN BERNARDINO FREEWAY) E/B,GARFIELD AVE.,330,W,N,A,-,Y,,,10,,,,,,E,N,1,1,0,3,A,-,11,21954,A,M,G,B,E,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,-,-,LOS ANGELES,ALHAMBRA,-118.1233992,34.07145092
90451158,2016,8/15/2017,9530,11/10/2016,810,19792,,4,1,9,1900,0,3,5,,2,5,MARINE AVENUE,LEMOLI AVE.,15,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,99,0,0,0,1,0,0,0,0,0,-,-,LOS ANGELES,UNINCORPORATED,-118.3308207,33.89467
90439240,2016,6/15/2017,9550,11/26/2016,113,20959,,6,3,5,1935,0,1,1,,2,653,INTERSTATE 605 NORTHBOUND,CARSON STREET,2756,S,N,A,-,Y,,,,,,,,,,Y,1,1,2,3,A,-,3,22350,,N,D,C,E,A,H,-,D,D,0,Y,,,,Y,,A,1,1,0,1,1,0,0,0,0,0,-,-,LOS ANGELES,LAKEWOOD,-118.08394,33.83138
90436081,2016,4/17/2017,9565,9/17/2016,2227,20710,,6,3,9,1900,0,2,4,,2,22,NORMANDIE AVENUE (10400 BLOCK),W 105TH STREET,40,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,F,G,B,D,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,-,-,LOS ANGELES,UNINCORPORATED,-118.3002826,33.94130968
90432657,2016,4/12/2017,9565,8/7/2016,540,21058,,7,3,9,1900,0,2,4,,1,32,SLAUSON AVE.,LA TIJERA BLVD.,45,W,N,B,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,B,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,-,-,LOS ANGELES,UNINCORPORATED,-118.3648781,33.98741242
90431686,2016,4/12/2017,9565,9/16/2016,122,21151,,5,3,5,1928,0,1,1,,2,60,INTERSTATE-405 N/B (SAN DIEGO FWY),EL SEGUNDO BLVD.,1075,S,N,A,-,Y,,,405,,,,,,N,N,1,1,0,2,A,-,0,21960,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,-,-,LOS ANGELES,HAWTHORNE,-118.3702962,33.91330953
90429123,2016,4/6/2017,9540,11/5/2016,556,19317,,6,3,7,1942,0,1,1,,1,502,I-5(N/B)(GOLDEN STATE FREEWAY),BALBOA BOULEVARD,2640,N,N,A,-,Y,,,5,,,,,,,Y,1,1,6,8,A,-,3,22350,,N,C,C,E,A,H,-,D,D,0,Y,,,,Y,,A,7,2,2,2,1,1,0,0,0,0,-,-,LOS ANGELES,LOS ANGELES,-118.5040171,34.32634788
