Geography,fips_code,tract,TotalPop,Drove,Percent_Drove,Transit,Percent_Transit,Bike,Percent_Bike,Walk,Percent_Walk,WFH,Percent_WFH
"Census Tract 1011.10, Los Angeles County, California",6037101110,101110,2049,1897,92.58,41.00,2.00,0.00,0.00,10.00,0.49,69.00,3.37
"Census Tract 1011.22, Los Angeles County, California",6037101122,101122,1910,1796,94.03,8.00,0.42,0.00,0.00,12.00,0.63,51.00,2.67
"Census Tract 1012.10, Los Angeles County, California",6037101210,101210,2806,2361,84.14,137.00,4.88,0.00,0.00,99.00,3.53,132.00,4.70
"Census Tract 1012.20, Los Angeles County, California",6037101220,101220,1355,1163,85.83,38.00,2.80,0.00,0.00,49.00,3.62,82.00,6.05
"Census Tract 1013, Los Angeles County, California",6037101300,101300,1957,1721,87.94,49.00,2.50,0.00,0.00,0.00,0.00,187.00,9.56
"Census Tract 1014, Los Angeles County, California",6037101400,101400,1925,1764,91.64,30.00,1.56,0.00,0.00,32.00,1.66,91.00,4.73
"Census Tract 1021.03, Los Angeles County, California",6037102103,102103,967,878,90.80,4.00,0.41,5.00,0.52,0.00,0.00,73.00,7.55
"Census Tract 1021.04, Los Angeles County, California",6037102104,102104,1613,1346,83.45,69.00,4.28,0.00,0.00,42.00,2.60,141.00,8.74
"Census Tract 1021.05, Los Angeles County, California",6037102105,102105,1050,904,86.10,42.00,4.00,7.00,0.67,65.00,6.19,0.00,0.00
"Census Tract 1021.07, Los Angeles County, California",6037102107,102107,1754,1639,93.44,13.00,0.74,0.00,0.00,25.00,1.43,47.00,2.68
"Census Tract 1031.01, Los Angeles County, California",6037103101,103101,1256,1196,95.22,10.00,0.80,0.00,0.00,0.00,0.00,33.00,2.63
"Census Tract 1031.02, Los Angeles County, California",6037103102,103102,2140,2100,98.13,21.00,0.98,0.00,0.00,9.00,0.42,0.00,0.00
"Census Tract 1032, Los Angeles County, California",6037103200,103200,2546,2235,87.78,46.00,1.81,0.00,0.00,123.00,4.83,142.00,5.58
"Census Tract 1033, Los Angeles County, California",6037103300,103300,1488,1296,87.10,23.00,1.55,8.00,0.54,2.00,0.13,159.00,10.69
"Census Tract 1034, Los Angeles County, California",6037103400,103400,3221,3016,93.64,47.00,1.46,0.00,0.00,0.00,0.00,158.00,4.91
"Census Tract 1041.03, Los Angeles County, California",6037104103,104103,1616,1511,93.50,36.00,2.23,0.00,0.00,6.00,0.37,47.00,2.91
"Census Tract 1041.05, Los Angeles County, California",6037104105,104105,2110,1788,84.74,265.00,12.56,9.00,0.43,22.00,1.04,26.00,1.23
"Census Tract 1041.08, Los Angeles County, California",6037104108,104108,2127,1895,89.09,132.00,6.21,0.00,0.00,42.00,1.97,17.00,0.80
"Census Tract 1041.24, Los Angeles County, California",6037104124,104124,1911,1617,84.62,201.00,10.52,0.00,0.00,52.00,2.72,18.00,0.94
"Census Tract 1042.01, Los Angeles County, California",6037104201,104201,1743,1534,88.01,126.00,7.23,0.00,0.00,56.00,3.21,27.00,1.55
"Census Tract 1042.03, Los Angeles County, California",6037104203,104203,2110,1737,82.32,157.00,7.44,17.00,0.81,78.00,3.70,47.00,2.23
"Census Tract 1042.04, Los Angeles County, California",6037104204,104204,1386,1125,81.17,95.00,6.85,15.00,1.08,61.00,4.40,37.00,2.67
"Census Tract 1043.10, Los Angeles County, California",6037104310,104310,2107,1903,90.32,45.00,2.14,12.00,0.57,115.00,5.46,15.00,0.71
"Census Tract 1043.20, Los Angeles County, California",6037104320,104320,2449,2167,88.49,139.00,5.68,35.00,1.43,18.00,0.73,55.00,2.25
"Census Tract 1044.01, Los Angeles County, California",6037104401,104401,1649,1395,84.60,95.00,5.76,16.00,0.97,12.00,0.73,43.00,2.61
"Census Tract 1044.03, Los Angeles County, California",6037104403,104403,1255,989,78.80,71.00,5.66,0.00,0.00,32.00,2.55,60.00,4.78
"Census Tract 1044.04, Los Angeles County, California",6037104404,104404,1158,981,84.72,81.00,6.99,0.00,0.00,42.00,3.63,26.00,2.25
"Census Tract 1045, Los Angeles County, California",6037104500,104500,1370,1197,87.37,38.00,2.77,15.00,1.09,12.00,0.88,63.00,4.60
"Census Tract 1046.10, Los Angeles County, California",6037104610,104610,1376,1126,81.83,124.00,9.01,18.00,1.31,65.00,4.72,11.00,0.80
"Census Tract 1046.20, Los Angeles County, California",6037104620,104620,1399,1248,89.21,60.00,4.29,14.00,1.00,26.00,1.86,6.00,0.43
"Census Tract 1047.01, Los Angeles County, California",6037104701,104701,1255,980,78.09,143.00,11.39,0.00,0.00,42.00,3.35,21.00,1.67
"Census Tract 1047.03, Los Angeles County, California",6037104703,104703,837,714,85.30,5.00,0.60,15.00,1.79,5.00,0.60,21.00,2.51
"Census Tract 1047.04, Los Angeles County, California",6037104704,104704,1613,1508,93.49,42.00,2.60,17.00,1.05,0.00,0.00,6.00,0.37
"Census Tract 1048.10, Los Angeles County, California",6037104810,104810,2538,2427,95.63,42.00,1.65,0.00,0.00,7.00,0.28,62.00,2.44
"Census Tract 1048.21, Los Angeles County, California",6037104821,104821,1485,1250,84.18,115.00,7.74,0.00,0.00,19.00,1.28,57.00,3.84
"Census Tract 1048.22, Los Angeles County, California",6037104822,104822,1052,878,83.46,77.00,7.32,0.00,0.00,41.00,3.90,21.00,2.00
"Census Tract 1060.10, Los Angeles County, California",6037106010,106010,1473,1384,93.96,13.00,0.88,0.00,0.00,35.00,2.38,7.00,0.48
"Census Tract 1060.20, Los Angeles County, California",6037106020,106020,2857,2614,91.49,183.00,6.41,0.00,0.00,47.00,1.65,13.00,0.46
"Census Tract 1061.11, Los Angeles County, California",6037106111,106111,2214,2020,91.24,50.00,2.26,0.00,0.00,0.00,0.00,127.00,5.74
"Census Tract 1061.12, Los Angeles County, California",6037106112,106112,2511,2291,91.24,59.00,2.35,0.00,0.00,14.00,0.56,134.00,5.34
"Census Tract 1061.13, Los Angeles County, California",6037106113,106113,1615,1393,86.25,43.00,2.66,0.00,0.00,11.00,0.68,124.00,7.68
"Census Tract 1061.14, Los Angeles County, California",6037106114,106114,2554,2418,94.68,31.00,1.21,0.00,0.00,22.00,0.86,40.00,1.57
"Census Tract 1064.03, Los Angeles County, California",6037106403,106403,1521,1458,95.86,32.00,2.10,0.00,0.00,0.00,0.00,31.00,2.04
"Census Tract 1064.05, Los Angeles County, California",6037106405,106405,1678,1497,89.21,70.00,4.17,0.00,0.00,11.00,0.66,88.00,5.24
"Census Tract 1064.06, Los Angeles County, California",6037106406,106406,2610,2385,91.38,66.00,2.53,0.00,0.00,0.00,0.00,143.00,5.48
"Census Tract 1064.07, Los Angeles County, California",6037106407,106407,1054,875,83.02,134.00,12.71,0.00,0.00,6.00,0.57,39.00,3.70
"Census Tract 1064.08, Los Angeles County, California",6037106408,106408,1392,1252,89.94,64.00,4.60,0.00,0.00,25.00,1.80,46.00,3.30
"Census Tract 1065.10, Los Angeles County, California",6037106510,106510,2373,2134,89.93,116.00,4.89,0.00,0.00,7.00,0.29,69.00,2.91
"Census Tract 1065.20, Los Angeles County, California",6037106520,106520,2216,2076,93.68,24.00,1.08,0.00,0.00,0.00,0.00,81.00,3.66
"Census Tract 1066.03, Los Angeles County, California",6037106603,106603,1501,1349,89.87,42.00,2.80,0.00,0.00,0.00,0.00,101.00,6.73
"Census Tract 1066.04, Los Angeles County, California",6037106604,106604,1908,1657,86.84,212.00,11.11,10.00,0.52,0.00,0.00,21.00,1.10
"Census Tract 1066.41, Los Angeles County, California",6037106641,106641,1085,897,82.67,20.00,1.84,11.00,1.01,0.00,0.00,157.00,14.47
"Census Tract 1066.42, Los Angeles County, California",6037106642,106642,1565,1406,89.84,69.00,4.41,0.00,0.00,12.00,0.77,78.00,4.98
"Census Tract 1066.43, Los Angeles County, California",6037106643,106643,2279,2155,94.56,0.00,0.00,0.00,0.00,0.00,0.00,108.00,4.74
"Census Tract 1066.45, Los Angeles County, California",6037106645,106645,1546,1349,87.26,10.00,0.65,0.00,0.00,0.00,0.00,187.00,12.10
"Census Tract 1066.46, Los Angeles County, California",6037106646,106646,1648,1472,89.32,64.00,3.88,0.00,0.00,6.00,0.36,84.00,5.10
"Census Tract 1066.48, Los Angeles County, California",6037106648,106648,1816,1616,88.99,173.00,9.53,0.00,0.00,18.00,0.99,0.00,0.00
